ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-02,10356042579.930128,5309033334.435292,16628466773.023022,10356042579.930128,10356042579.930128,805205233.8639593,805205233.8639593,805205233.8639593,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90437767,-153732355.90437767,-153732355.90437767,-1174048464.991971,-1174048464.991971,-1174048464.991971,0.0,0.0,0.0,11161247813.794086
2020-01-03,10364936241.678946,7065299156.869216,18118396711.177605,10364936241.678946,10364936241.678946,2196390773.422673,2196390773.422673,2196390773.422673,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.055158,1358968902.055158,1358968902.055158,-1295564183.3927927,-1295564183.3927927,-1295564183.3927927,0.0,0.0,0.0,12561327015.10162
2020-01-06,10391617226.9254,5505444215.761271,17385683994.972,10391617226.9254,10391617226.9254,841150208.7764559,841150208.7764559,841150208.7764559,2132986054.760308,2132986054.760308,2132986054.760308,142761004.0156201,142761004.0156201,142761004.0156201,-1434596849.9994721,-1434596849.9994721,-1434596849.9994721,0.0,0.0,0.0,11232767435.701855
2020-01-07,10400510888.674221,5252323575.226101,16467166466.286915,10400510888.674221,10400510888.674221,420917163.06331164,420917163.06331164,420917163.06331164,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6378053,-307212085.6378053,-307212085.6378053,-1404856806.059191,-1404856806.059191,-1404856806.059191,0.0,0.0,0.0,10821428051.737534
2020-01-08,10409404550.423038,4616804995.537777,16663116953.17817,10409404550.423038,10409404550.423038,286569987.6074126,286569987.6074126,286569987.6074126,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76066446,-507539372.76066446,-507539372.76066446,-1338876694.3922312,-1338876694.3922312,-1338876694.3922312,0.0,0.0,0.0,10695974538.03045
2020-01-09,10418298212.171856,5309365200.698385,16815600195.91739,10418298212.171856,10418298212.171856,740218879.2935175,740218879.2935175,740218879.2935175,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90350667,-153732355.90350667,-153732355.90350667,-1239034819.563284,-1239034819.563284,-1239034819.563284,0.0,0.0,0.0,11158517091.465374
2020-01-10,10427191873.920675,7305668172.119619,18512897346.495667,10427191873.920675,10427191873.920675,2383458195.762728,2383458195.762728,2383458195.762728,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.056154,1358968902.056154,1358968902.056154,-1108496761.0537338,-1108496761.0537338,-1108496761.0537338,0.0,0.0,0.0,12810650069.683403
2020-01-13,10453872859.16713,6587255210.495119,17631539867.81008,10453872859.16713,10453872859.16713,1701385912.5848117,1701385912.5848117,1701385912.5848117,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01382306,142761004.01382306,142761004.01382306,-574361146.1893194,-574361146.1893194,-574361146.1893194,0.0,0.0,0.0,12155258771.751942
2020-01-14,10462766520.915947,5795214164.828625,17835928956.242683,10462766520.915947,10462766520.915947,1460491442.5735314,1460491442.5735314,1460491442.5735314,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6365351,-307212085.6365351,-307212085.6365351,-365282526.55024135,-365282526.55024135,-365282526.55024135,0.0,0.0,0.0,11923257963.48948
2020-01-15,10471660182.664764,6289584623.263153,17541936850.576344,10471660182.664764,10471660182.664764,1475655539.2163224,1475655539.2163224,1475655539.2163224,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.7607137,-507539372.7607137,-507539372.7607137,-149791142.783272,-149791142.783272,-149791142.783272,0.0,0.0,0.0,11947315721.881086
