Date,Close,Volume,CashInflow
,DHER.DE,DHER.DE,
2017-06-30,27.799999237060547,11407039,317115675.4971199
2017-07-03,27.5,496331,13649102.5
2017-07-04,26.950000762939453,172959,4661245.181957245
2017-07-05,25.549999237060547,251146,6416780.108390808
2017-07-06,25.899999618530273,164755,4267154.437150955
2017-07-07,26.25,118722,3116452.5
2017-07-10,26.549999237060547,133496,3544318.6981506348
2017-07-11,27.200000762939453,183557,4992750.540042877
2017-07-12,28.200000762939453,70912,1999718.4541015625
2017-07-13,27.600000381469727,22009,607448.4083957672
2017-07-14,28.0,31735,888580.0
2017-07-17,29.299999237060547,174981,5126943.166500092
2017-07-18,29.0,62654,1816966.0
2017-07-19,28.899999618530273,65753,1900261.674917221
2017-07-20,29.2450008392334,76842,2247244.354488373
2017-07-21,28.0,31640,885920.0
2017-07-24,27.799999237060547,7105,197518.9945793152
2017-07-25,27.459999084472656,35139,964916.9078292847
2017-07-26,27.389999389648438,31012,849418.6610717773
2017-07-27,27.80500030517578,17805,495068.0304336548
2017-07-28,27.40999984741211,21163,580077.8267707825
2017-07-31,27.700000762939453,66757,1849168.950931549
2017-08-01,27.690000534057617,116033,3212953.8319683075
2017-08-02,27.649999618530273,23079,638134.3411960602
2017-08-03,27.549999237060547,22273,613621.1330070496
2017-08-04,26.8799991607666,27885,749548.7765979767
2017-08-07,27.0,26709,721143.0
2017-08-08,28.399999618530273,140351,3985968.3464603424
2017-08-09,28.350000381469727,187600,5318460.071563721
2017-08-10,28.0,127606,3572968.0
2017-08-11,27.729999542236328,84579,2345375.6312828064
2017-08-14,27.200000762939453,35555,967096.0271263123
2017-08-15,26.899999618530273,11514,309726.59560775757
2017-08-16,27.03499984741211,10474,283164.58840179443
2017-08-17,27.459999084472656,14316,393117.34689331055
2017-08-18,27.354999542236328,10642,291111.905128479
2017-08-21,27.479999542236328,10129,278344.91536331177
2017-08-22,27.84000015258789,21228,590987.5232391357
2017-08-23,28.96500015258789,15418,446582.3723526001
2017-08-24,30.200000762939453,59085,1784367.0450782776
2017-08-25,30.399999618530273,39104,1188761.5850830078
2017-08-28,30.100000381469727,47045,1416054.5179462433
2017-08-29,30.31999969482422,40844,1238390.0675354004
2017-08-30,30.18000030517578,10300,310854.00314331055
2017-08-31,30.100000381469727,37518,1129291.8143119812
2017-09-01,30.149999618530273,16816,507002.3935852051
2017-09-04,30.1200008392334,11032,332283.84925842285
2017-09-05,30.549999237060547,42093,1285941.1178855896
